	Cluster	week	outlier
SRR12352817	C08	NA	0
SRR12352818	C14	NA	0
SRR12352819	C07	NA	0
SRR12352820	C08	NA	0
SRR12352821	C11	NA	0
SRR12352822	C14	NA	0
SRR12352823	C08	NA	0
SRR12352824	C10	NA	0
SRR12352826	C07	NA	0
SRR12352827	C12	NA	0
SRR12352828	C11	NA	0
SRR12352829	C15	NA	0
SRR12352830	C08	NA	0
SRR12352831	C08	NA	0
SRR12352845	C11	NA	0
SRR12352847	C12	NA	0
SRR12352848	C02	NA	0
SRR12352849	C12	NA	0
SRR12352850	C12	NA	0
SRR12352851	C11	NA	0
SRR12352852	C11	NA	0
SRR12352854	C11	NA	0
SRR12352855	C11	NA	0
SRR12352856	C11	NA	0
SRR12364289	C11	NA	0
SRR12364290	C08	NA	0
SRR12364291	C08	NA	0
SRR12364292	C08	NA	0
SRR12364293	C08	NA	0
SRR12364294	C11	NA	0
SRR12364295	C11	NA	0
SRR12364296	C11	NA	0
SRR12364297	C11	NA	0
SRR12364298	C11	NA	0
SRR12364299	C08	NA	0
SRR12364300	C11	NA	0
SRR12364301	C11	NA	0
SRR12364302	C11	NA	0
SRR12364303	C11	NA	0
SRR12364304	C11	NA	0
SRR12364305	C08	NA	0
SRR12364306	C11	NA	0
SRR12364307	C11	NA	0
SRR12364308	C11	NA	0
SRR12364309	C11	NA	0
SRR12364310	C11	NA	0
SRR12379496	C11	15	0
SRR12379497	C08	NA	0
SRR12379499	C11	NA	0
SRR12379500	C10	15	0
SRR12379501	C11	NA	0
SRR12379502	C18	NA	0
SRR12379503	C11	16	0
SRR12379504	C18	NA	0
SRR12379505	C17	NA	0
SRR12379507	C11	16	0
SRR12379508	C10	NA	0
SRR12379509	C11	NA	0
SRR12379511	C10	15	0
SRR12379512	C11	NA	0
SRR12379513	C18	NA	0
SRR12379514	C13	15	0
SRR12379515	C10	NA	0
SRR12379516	C11	NA	0
SRR12379518	C11	16	0
SRR12379519	C16	NA	0
SRR12379520	C11	NA	0
SRR12379522	C11	13	0
SRR12379523	C10	NA	0
SRR12379524	C11	NA	0
SRR12379525	C11	13	0
SRR12379526	C11	NA	0
SRR12379527	C18	NA	0
SRR12379529	C18	13	0
SRR12379530	C07	NA	0
SRR12379532	C11	NA	0
SRR12379535	C08	13	0
SRR12379536	C11	NA	0
SRR12379537	C10	NA	1
SRR12379538	C11	13	1
SRR12379539	C11	NA	1
SRR12379540	C17	NA	1
SRR12379541	C11	13	1
SRR12379542	C16	NA	0
